STATE,COUNTY,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031+
COLORADO,ARAPAHOE,"4,551",305,"2,477",367,0,0,"3,677",0,0,0,0,39
COLORADO,ARCHULETA,0,0,0,0,0,0,0,0,0,0,0,49
COLORADO,BACA,"145,183","28,546","64,251","5,200","1,080",120,"3,050","6,366",803,183,"2,046","2,249"
COLORADO,BENT,"13,763","8,771","10,126",329,0,0,0,0,0,0,0,"6,288"
COLORADO,BOULDER,0,0,9,6,0,0,0,0,0,0,0,0
COLORADO,CHEYENNE,"44,809","20,495","35,052","11,495",0,"1,005",695,0,0,0,0,1
COLORADO,CONEJOS,0,0,0,19,0,0,0,0,0,0,0,0
COLORADO,COSTILLA,0,0,0,13,0,0,0,0,0,0,0,0
COLORADO,CROWLEY,"8,298","10,687",988,0,0,0,"2,949",0,0,0,0,"22,158"
COLORADO,DOLORES,"5,656","4,653","1,254","2,017","2,351",0,0,720,42,39,0,137
COLORADO,DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,184
COLORADO,ELBERT,"18,733","4,082","9,237","2,814",18,6,315,10,0,0,0,508
COLORADO,EL PASO,"7,655",826,"3,148",245,0,0,0,0,0,0,0,0
COLORADO,GARFIELD,0,0,72,0,0,0,0,0,0,0,0,0
COLORADO,GUNNISON,0,5,0,0,0,0,0,0,0,0,0,0
COLORADO,HUERFANO,0,0,503,0,0,0,0,0,0,0,0,0
COLORADO,JACKSON,0,0,0,0,0,0,0,0,0,0,0,905
COLORADO,KIOWA,"52,568","19,300","93,085","2,169","1,384",0,"5,073","1,901","2,238",0,0,"14,081"
COLORADO,KIT CARSON,"22,815","15,926","25,198","13,032",0,105,"2,487","1,652",120,0,0,"7,339"
COLORADO,LA PLATA,"6,770","2,082",0,51,0,0,0,0,0,0,0,391
COLORADO,LARIMER,216,0,310,0,0,0,0,0,0,0,0,0
COLORADO,LAS ANIMAS,"6,516","5,541","5,447","2,089",0,0,0,0,0,0,0,0
COLORADO,LINCOLN,"41,928","29,727","27,841","8,135",968,0,0,0,0,0,0,103
COLORADO,LOGAN,"19,120","9,331","17,242","13,873",33,99,"1,244",495,0,29,12,"11,889"
COLORADO,MOFFAT,"10,714","4,944","5,570",278,167,0,0,0,161,0,0,0
COLORADO,MONTEZUMA,"4,207","3,951","1,448",811,215,0,0,0,0,0,0,"1,526"
COLORADO,MORGAN,"18,224","8,357","8,195","7,511",172,4,"2,938",0,0,0,0,705
COLORADO,OTERO,508,"1,196",310,0,0,0,0,0,0,0,0,125
COLORADO,PHILLIPS,"2,713","1,768","2,110","3,579",256,213,"3,427",208,24,169,427,"4,874"
COLORADO,PROWERS,"77,969","22,804","42,550","1,328",307,0,0,"3,911",0,0,0,142
COLORADO,PUEBLO,"5,330","17,161","9,625",0,0,0,0,178,0,0,0,863
COLORADO,RIO BLANCO,0,0,0,0,0,0,0,0,0,0,0,"2,073"
COLORADO,RIO GRANDE,0,0,0,0,0,0,0,0,130,0,535,351
COLORADO,ROUTT,"4,214","3,522","4,243","1,694",0,0,476,0,0,0,0,"1,010"
COLORADO,SAGUACHE,0,0,0,0,0,0,0,0,558,827,244,"2,258"
COLORADO,SAN MIGUEL,"2,803",899,"1,191",0,0,0,0,0,0,0,0,0
COLORADO,SEDGWICK,"2,187",450,"1,211",927,107,9,"2,873","1,244",130,67,210,"4,642"
COLORADO,WASHINGTON,"54,084","18,667","28,517","15,365",2,0,"2,254",16,0,50,107,284
COLORADO,WELD,"82,876","38,811","39,243","42,066",196,442,"10,009",0,0,"1,155","1,945","21,780"
COLORADO,YUMA,"17,533","11,386","14,328","17,782","1,468","1,011","17,329","1,348",122,6,96,"5,245"
CONNECTICUT,WINDHAM,0,1,0,0,0,0,0,0,0,0,0,0
DELAWARE,KENT,151,201,77,81,38,79,48,48,56,46,74,636
DELAWARE,NEW CASTLE,42,25,49,133,2,0,0,0,0,0,0,31
DELAWARE,SUSSEX,142,87,15,39,65,25,236,57,19,122,15,855
FLORIDA,CALHOUN,0,43,0,0,0,0,0,19,0,0,12,161
FLORIDA,CITRUS,0,0,0,0,0,0,0,0,0,0,0,53
FLORIDA,COLUMBIA,36,0,0,85,0,0,78,0,0,0,0,0
FLORIDA,ESCAMBIA,99,91,26,314,10,0,0,0,29,39,0,0
FLORIDA,GADSDEN,107,0,0,0,0,0,0,0,0,0,0,0
FLORIDA,GULF,0,0,0,0,0,0,0,0,0,0,78,0
FLORIDA,HAMILTON,0,0,0,0,0,0,0,0,0,0,0,79
FLORIDA,HOLMES,638,714,672,267,0,0,0,0,0,0,0,0
FLORIDA,JACKSON,717,188,719,340,12,160,43,18,0,600,147,0
FLORIDA,JEFFERSON,921,302,"1,066",98,0,15,56,0,0,0,0,0
FLORIDA,LEON,169,0,23,0,0,0,0,0,0,0,0,0
FLORIDA,MADISON,146,393,445,61,0,0,249,255,0,9,0,0
FLORIDA,OKALOOSA,648,"1,260","1,286",279,38,48,0,0,0,0,0,0
FLORIDA,SANTA ROSA,276,192,370,508,0,0,0,19,70,99,0,17
FLORIDA,WALTON,446,411,"1,132",329,0,0,48,0,26,0,0,67
FLORIDA,WASHINGTON,665,631,288,112,0,0,0,0,0,0,0,0
GEORGIA,APPLING,42,0,181,53,8,33,50,353,0,0,83,12
GEORGIA,ATKINSON,15,0,0,0,0,0,0,0,34,0,18,0
GEORGIA,BACON,0,0,0,0,0,0,67,0,0,17,81,36
GEORGIA,BAKER,0,84,10,12,0,0,74,0,0,17,46,26
GEORGIA,BANKS,37,57,0,0,0,0,0,0,0,0,0,0
GEORGIA,BARTOW,58,0,0,101,0,0,0,0,0,0,0,75
GEORGIA,BEN HILL,228,161,530,160,281,120,20,40,108,68,71,107
GEORGIA,BERRIEN,125,341,141,0,0,24,0,33,0,167,295,0
GEORGIA,BLECKLEY,20,112,420,0,0,49,76,0,0,0,62,0
GEORGIA,BRANTLEY,16,17,0,0,0,0,0,0,0,0,0,0
GEORGIA,BROOKS,98,448,"1,129",750,168,"1,017",183,0,576,275,911,509
GEORGIA,BRYAN,0,33,146,0,0,0,0,0,0,0,54,0
GEORGIA,BULLOCH,450,"1,041","1,131",250,533,788,203,144,253,367,71,485
GEORGIA,BURKE,177,162,"1,010",90,110,43,19,0,77,0,329,0
GEORGIA,BUTTS,0,99,0,0,0,0,0,0,0,0,0,0
GEORGIA,CALHOUN,288,458,951,147,410,513,254,49,0,456,585,620
GEORGIA,CANDLER,262,79,397,100,699,277,201,88,16,15,208,272
GEORGIA,CARROLL,0,0,0,0,0,13,0,0,0,0,0,0
GEORGIA,CATOOSA,0,0,2,12,0,0,0,0,0,0,0,0
GEORGIA,CHATTAHOOCHEE,15,0,0,0,0,0,0,0,0,0,0,0
GEORGIA,CHATTOOGA,0,26,6,0,7,0,12,0,0,0,0,0
GEORGIA,CLARKE,325,26,25,0,0,0,0,0,0,0,0,0
GEORGIA,CLAY,194,390,"1,129",266,67,43,133,0,19,32,181,0
GEORGIA,COBB,0,0,0,13,0,0,0,0,0,0,0,0
GEORGIA,COFFEE,258,24,620,68,12,450,31,393,66,14,167,270
GEORGIA,COLQUITT,164,508,519,357,392,417,270,74,35,146,291,308
GEORGIA,COOK,61,80,65,10,58,408,21,111,31,0,54,46
GEORGIA,COWETA,0,0,41,0,0,0,0,0,0,0,0,0
GEORGIA,CRAWFORD,7,5,108,0,53,0,0,0,0,0,0,0
GEORGIA,CRISP,431,457,535,266,260,369,355,232,205,42,670,625
GEORGIA,DECATUR,445,587,869,296,299,398,15,0,0,376,0,550
GEORGIA,DODGE,506,493,754,351,190,79,193,319,0,33,"1,043",37
GEORGIA,DOOLY,876,758,"2,852","1,892",879,"1,204",486,328,28,"1,077",451,769
GEORGIA,DOUGHERTY,0,95,135,0,0,0,6,0,0,35,97,35
GEORGIA,EARLY,"1,331","1,137","3,160",398,288,279,393,55,234,"1,211",205,205
GEORGIA,ECHOLS,0,78,78,0,0,0,0,0,0,0,7,91
GEORGIA,EFFINGHAM,0,0,18,0,0,0,0,0,0,0,0,0
GEORGIA,ELBERT,31,10,41,42,0,0,25,0,0,0,0,0
GEORGIA,EMANUEL,901,864,"1,340",344,553,"1,338",173,0,9,28,431,77
GEORGIA,EVANS,89,55,66,0,123,0,20,28,3,8,0,0
GEORGIA,FLOYD,316,16,311,116,0,5,38,0,10,0,0,0
GEORGIA,FRANKLIN,40,116,0,20,0,0,0,0,0,0,0,0
GEORGIA,GLASCOCK,33,0,101,16,102,0,0,0,0,0,0,41
GEORGIA,GORDON,9,10,0,28,0,0,7,0,3,0,0,3
GEORGIA,GRADY,872,898,914,753,557,18,174,85,34,435,804,362
GEORGIA,GREENE,3,0,0,0,0,0,0,0,0,0,0,0
GEORGIA,HANCOCK,0,0,254,0,0,0,0,0,0,0,0,0
GEORGIA,HARRIS,0,0,0,0,128,161,0,0,0,0,0,0
GEORGIA,HART,206,262,475,21,0,0,0,0,0,0,0,0
GEORGIA,HEARD,25,0,0,0,0,0,0,0,0,0,0,0
GEORGIA,HOUSTON,107,0,233,0,0,0,34,0,0,0,0,81
GEORGIA,IRWIN,286,97,316,193,149,191,110,0,114,66,177,431
GEORGIA,JASPER,33,0,0,72,0,0,0,0,0,0,0,0
GEORGIA,JEFF DAVIS,44,45,8,0,26,87,125,0,69,0,0,0
GEORGIA,JEFFERSON,131,38,821,353,130,141,0,166,0,0,0,40
GEORGIA,JENKINS,329,260,"1,259",559,64,85,0,0,0,37,75,50
GEORGIA,JOHNSON,120,844,720,37,77,110,526,0,0,41,17,0
GEORGIA,JONES,0,153,0,0,0,0,0,0,0,0,0,0
GEORGIA,LAMAR,56,12,0,0,0,0,0,0,0,0,0,0
GEORGIA,LANIER,31,159,88,16,0,91,0,0,0,0,0,158
GEORGIA,LAURENS,721,"1,190","2,535",448,514,658,306,232,103,95,276,145
GEORGIA,LEE,120,226,"1,252",217,542,329,113,0,0,296,"1,973",518
GEORGIA,LINCOLN,48,0,0,16,0,0,0,0,0,0,0,342
GEORGIA,LOWNDES,213,306,504,34,37,38,100,72,0,56,166,119
GEORGIA,MCDUFFIE,0,149,0,0,0,0,0,0,0,0,0,0
